x(1),y(-0.96),sum(-0.96)
x(1.01),y(-0.93),sum(-1.89)
x(1.02),y(-0.91),sum(-2.8)
x(1.03),y(-0.88),sum(-3.68)
x(1.04),y(-0.85),sum(-4.53)
x(1.05),y(-0.82),sum(-5.35)
x(1.06),y(-0.79),sum(-6.13)
x(1.07),y(-0.75),sum(-6.88)
x(1.08),y(-0.72),sum(-7.6)
x(1.09),y(-0.68),sum(-8.28)
x(1.1),y(-0.64),sum(-8.92)
x(1.11),y(-0.6),sum(-9.52)
x(1.12),y(-0.56),sum(-10.09)
x(1.13),y(-0.52),sum(-10.61)
x(1.14),y(-0.48),sum(-11.09)
x(1.15),y(-0.44),sum(-11.53)
x(1.16),y(-0.4),sum(-11.94)
x(1.17),y(-0.36),sum(-12.29)
x(1.18),y(-0.32),sum(-12.61)
x(1.19),y(-0.27),sum(-12.89)
x(1.2),y(-0.23),sum(-13.12)
x(1.21),y(-0.19),sum(-13.31)
x(1.22),y(-0.15),sum(-13.46)
x(1.23),y(-0.11),sum(-13.57)
x(1.24),y(-0.07),sum(-13.63)
x(1.25),y(-0.03),sum(-13.66)
x(1.26),y(0.01),sum(-13.65)
x(1.27),y(0.05),sum(-13.59)
x(1.28),y(0.09),sum(-13.5)
x(1.29),y(0.13),sum(-13.37)
x(1.3),y(0.17),sum(-13.21)
x(1.31),y(0.2),sum(-13.01)
x(1.32),y(0.24),sum(-12.77)
x(1.33),y(0.27),sum(-12.5)
x(1.34),y(0.3),sum(-12.2)
x(1.35),y(0.33),sum(-11.87)
x(1.36),y(0.36),sum(-11.5)
x(1.37),y(0.39),sum(-11.11)
x(1.38),y(0.42),sum(-10.69)
x(1.39),y(0.44),sum(-10.25)
x(1.4),y(0.47),sum(-9.78)
x(1.41),y(0.49),sum(-9.29)
x(1.42),y(0.51),sum(-8.77)
x(1.43),y(0.53),sum(-8.24)
x(1.44),y(0.55),sum(-7.69)
x(1.45),y(0.57),sum(-7.12)
x(1.46),y(0.58),sum(-6.54)
x(1.47),y(0.6),sum(-5.94)
x(1.48),y(0.61),sum(-5.34)
x(1.49),y(0.62),sum(-4.72)
x(1.5),y(0.63),sum(-4.09)
x(1.51),y(0.63),sum(-3.46)
x(1.52),y(0.64),sum(-2.82)
x(1.53),y(0.64),sum(-2.18)
x(1.54),y(0.64),sum(-1.54)
x(1.55),y(0.64),sum(-0.9)
x(1.56),y(0.64),sum(-0.26)
x(1.57),y(0.64),sum(0.38)
x(1.58),y(0.63),sum(1.01)
x(1.59),y(0.63),sum(1.63)
x(1.6),y(0.62),sum(2.25)
x(1.61),y(0.61),sum(2.86)
x(1.62),y(0.6),sum(3.46)
x(1.63),y(0.59),sum(4.05)
x(1.64),y(0.57),sum(4.62)
x(1.65),y(0.56),sum(5.18)
x(1.66),y(0.54),sum(5.72)
x(1.67),y(0.53),sum(6.25)
x(1.68),y(0.51),sum(6.76)
x(1.69),y(0.49),sum(7.25)
x(1.7),y(0.47),sum(7.72)
x(1.71),y(0.45),sum(8.17)
x(1.72),y(0.43),sum(8.59)
x(1.73),y(0.4),sum(9)
x(1.74),y(0.38),sum(9.38)
x(1.75),y(0.36),sum(9.74)
x(1.76),y(0.33),sum(10.07)
x(1.77),y(0.31),sum(10.38)
x(1.78),y(0.28),sum(10.66)
x(1.79),y(0.26),sum(10.91)
x(1.8),y(0.23),sum(11.14)
x(1.81),y(0.2),sum(11.34)
x(1.82),y(0.18),sum(11.52)
x(1.83),y(0.15),sum(11.67)
x(1.84),y(0.12),sum(11.79)
x(1.85),y(0.09),sum(11.88)
x(1.86),y(0.07),sum(11.95)
x(1.87),y(0.04),sum(11.99)
x(1.88),y(0.01),sum(12)
x(1.89),y(-0.01),sum(11.99)
x(1.9),y(-0.04),sum(11.95)
x(1.91),y(-0.07),sum(11.88)
x(1.92),y(-0.09),sum(11.79)
x(1.93),y(-0.12),sum(11.68)
x(1.94),y(-0.14),sum(11.54)
x(1.95),y(-0.16),sum(11.37)
x(1.96),y(-0.19),sum(11.19)
x(1.97),y(-0.21),sum(10.98)
x(1.98),y(-0.23),sum(10.75)
x(1.99),y(-0.25),sum(10.49)
